!revenue!date!sales!city!Date
0!1552600!2016-11-16 15:13:00!3!Cambridge!2016-11-16 15:13:00
1!345468!2018-02-22 13:08:00!3!London!2018-02-22 13:08:00
2!1012061!2016-01-15 15:38:00!3!Durham!2016-01-15 15:38:00
3!21651!2015-03-13 12:00:00!3!London!2015-03-13 12:00:00
4!769095!2017-11-30 14:49:00!4!Oxford!2017-11-30 14:49:00
5!1482607!2016-03-29 13:26:00!4!Cambridge!2016-03-29 13:26:00
6!777250!2017-12-28 10:24:00!3!Oxford!2017-12-28 10:24:00
7!1588503!2017-03-16 10:10:00!3!Cambridge!2017-03-16 10:10:00
8!1094989!2016-10-18 15:29:00!3!Durham!2016-10-18 15:29:00
9!432080!2018-12-07 11:14:00!4!London!2018-12-07 11:14:00
10!1601052!2017-04-26 15:50:00!3!Cambridge!2017-04-26 15:50:00
11!1767579!2018-11-01 12:41:00!3!Cambridge!2018-11-01 12:41:00
12!1537699!2016-09-28 12:27:00!3!Cambridge!2016-09-28 12:27:00
13!1373219!2015-03-31 14:38:00!1!Cambridge!2015-03-31 14:38:00
14!500187!2015-06-22 09:39:00!3!Oxford!2015-06-22 09:39:00
15!1092599!2016-10-11 10:44:00!4!Durham!2016-10-11 10:44:00
16!1658152!2017-11-02 13:14:00!2!Cambridge!2017-11-02 13:14:00
17!1769559!2018-11-08 10:36:00!3!Cambridge!2018-11-08 10:36:00
18!525099!2015-09-11 10:52:00!3!Oxford!2015-09-11 10:52:00
19!1515958!2016-07-18 14:58:00!4!Cambridge!2016-07-18 14:58:00
20!1140644!2017-03-20 11:35:00!3!Durham!2017-03-20 11:35:00
21!12175!2015-02-10 15:27:00!1!London!2015-02-10 15:27:00
22!426248!2018-11-19 12:16:00!3!London!2018-11-19 12:16:00
23!915322!2015-03-02 10:08:00!2!Durham!2015-03-02 10:08:00
24!946801!2015-06-12 15:33:00!3!Durham!2015-06-12 15:33:00
25!884679!2018-12-20 11:38:00!1!Oxford!2018-12-20 11:38:00
26!1097349!2016-10-26 12:43:00!3!Durham!2016-10-26 12:43:00
27!1205340!2017-10-20 09:17:00!1!Durham!2017-10-20 09:17:00
28!617831!2016-07-15 12:44:00!3!Oxford!2016-07-15 12:44:00
29!317922!2017-11-23 10:07:00!3!London!2017-11-23 10:07:00
30!995805!2015-11-24 11:20:00!4!Durham!2015-11-24 11:20:00
31!812398!2018-04-24 13:49:00!3!Oxford!2018-04-24 13:49:00
32!379699!2018-06-15 15:18:00!2!London!2018-06-15 15:18:00
33!1625603!2017-07-18 11:02:00!2!Cambridge!2017-07-18 11:02:00
34!188359!2016-09-19 11:52:00!2!London!2016-09-19 11:52:00
35!1478289!2016-03-15 11:38:00!1!Cambridge!2016-03-15 11:38:00
36!414584!2018-10-10 14:20:00!4!London!2018-10-10 14:20:00
37!1503407!2016-06-07 09:16:00!4!Cambridge!2016-06-07 09:16:00
38!1598545!2017-04-19 09:08:00!3!Cambridge!2017-04-19 09:08:00
39!886091!2018-12-25 14:07:00!4!Oxford!2018-12-25 14:07:00
40!906494!2015-01-30 10:21:00!3!Durham!2015-01-30 10:21:00
41!1027968!2016-03-09 14:07:00!4!Durham!2016-03-09 14:07:00
42!593342!2016-04-26 11:33:00!3!Oxford!2016-04-26 11:33:00
43!1646874!2017-09-26 14:43:00!4!Cambridge!2017-09-26 14:43:00
44!865112!2018-10-16 15:18:00!2!Oxford!2018-10-16 15:18:00
45!1437819!2015-11-02 10:44:00!3!Cambridge!2015-11-02 10:44:00
46!479735!2015-04-14 12:36:00!2!Oxford!2015-04-14 12:36:00
47!759787!2017-10-31 14:03:00!4!Oxford!2017-10-31 14:03:00
48!1180371!2017-07-28 14:08:00!3!Durham!2017-07-28 14:08:00
49!952632!2015-07-02 14:30:00!3!Durham!2015-07-02 14:30:00
50!661762!2016-12-08 15:11:00!3!Oxford!2016-12-08 15:11:00
51!1718286!2018-05-22 12:05:00!3!Cambridge!2018-05-22 12:05:00
52!1147625!2017-04-11 15:40:00!1!Durham!2017-04-11 15:40:00
53!734986!2017-08-09 14:41:00!3!Oxford!2017-08-09 14:41:00
54!347086!2018-02-28 12:02:00!2!London!2018-02-28 12:02:00
55!574571!2016-02-23 14:27:00!3!Oxford!2016-02-23 14:27:00
56!1288631!2018-07-24 15:11:00!3!Durham!2018-07-24 15:11:00
57!1564226!2016-12-26 12:31:00!3!Cambridge!2016-12-26 12:31:00
58!560175!2016-01-06 13:05:00!2!Oxford!2016-01-06 13:05:00
59!1366946!2015-03-10 15:20:00!4!Cambridge!2015-03-10 15:20:00
60!82375!2015-10-01 13:40:00!2!London!2015-10-01 13:40:00
61!1429099!2015-10-02 12:45:00!3!Cambridge!2015-10-02 12:45:00
62!1413446!2015-08-12 11:29:00!4!Cambridge!2015-08-12 11:29:00
63!473134!2015-03-23 14:51:00!4!Oxford!2015-03-23 14:51:00
64!1104442!2016-11-18 11:39:00!3!Durham!2016-11-18 11:39:00
65!1004170!2015-12-22 10:25:00!3!Durham!2015-12-22 10:25:00
66!1601162!2017-04-27 10:39:00!3!Cambridge!2017-04-27 10:39:00
67!1539816!2016-10-05 12:39:00!3!Cambridge!2016-10-05 12:39:00
68!696600!2017-04-04 13:26:00!4!Oxford!2017-04-04 13:26:00
69!1603796!2017-05-05 12:27:00!1!Cambridge!2017-05-05 12:27:00
70!1053448!2016-06-02 10:46:00!3!Durham!2016-06-02 10:46:00
71!1203743!2017-10-16 10:44:00!3!Durham!2017-10-16 10:44:00
72!774507!2017-12-19 13:48:00!2!Oxford!2017-12-19 13:48:00
73!1587900!2017-03-14 14:09:00!3!Cambridge!2017-03-14 14:09:00
74!1107436!2016-11-29 12:26:00!2!Durham!2016-11-29 12:26:00
75!859441!2018-09-27 12:00:00!3!Oxford!2018-09-27 12:00:00
76!419312!2018-10-25 15:57:00!4!London!2018-10-25 15:57:00
77!164518!2016-06-30 14:28:00!4!London!2016-06-30 14:28:00
78!1392249!2015-06-03 09:02:00!3!Cambridge!2015-06-03 09:02:00
79!797186!2018-03-05 12:53:00!4!Oxford!2018-03-05 12:53:00
80!1607197!2017-05-17 13:00:00!4!Cambridge!2017-05-17 13:00:00
